,Movie_name,Genre,Director,Writer,Painter,Firm,Type,Color,Runtime,Year
108,"Həm ziyarət, həm ticarət...",dram,Rasim Ocaqov,Rüstəm İbrahimbəyov,Rafiq Nəsirov,None,tammetrajlı bədii film,rəngli,81.0,1995
109,Həyat bizi sınayır,"dram, məhəbbət",Şamil Mahmudbəyov,"Vidadi Babanlı, ,, Mixail Papava","Fikrət Bağırov, ,, Mayis Ağabəyov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,74.5,1972
110,Hökm,"döyüş, macəra, triller","Xəyyam Aslan, Nadir Muqbilov",Nadir Muqbilov,Fikrət Məmmədov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,97.5,1994
111,Hökmdarın taleyi,"dram, tarixi, döyüş, bioqrafik, müharibə","Ramiz Fətəliyev, Dilşad Fatxulin",Elçin,Əziz Məmmədov,A.S.V.A. Profi Studiya XXI Prodüser Mərkəzi,tammetrajlı bədii film,rəngli,114.0,2008
112,Xatirələr sahili,dram,Yalçın Əfəndiyev,Oqtay Orucov,"Firəngiz Qurbanova, Fikrət Əhədov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,63.5,1972
113,Xeyirlə şərin rəqsi,detektiv,Yavər Rzayev,"Çingiz Abdullayev, Yavər Rzayev",Rafiq Nəsirov,"""Azərbaycanfilm"" kinostudiyası",None,rəngli,88.0,2016
114,Xoşbəxtlik qayğıları,"Dram, Komediya, Məhəbbət",Həsən Seyidbəyli,Həsən Seyidbəyli,"Məmməd Hüseynov, ,, Mayis Ağabəyov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,88.0,1976
115,Xüsusi vəziyyət,"dram, macəra, məhəbbət",Tofiq İsmayılov,Ramiz Fətəliyev,"Nadir Zeynalov, Elbəy Rzaquliyev","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,134.5,1986
116,İçəri şəhər,Dram,İlqar Safat,"Təhminə Rafaella,, İlqar Safat",None,None,None,None,120.0,None
117,İlahi məxluq,dram,Yavər Rzayev,Yavər Rzayev,None,"""Bizim Kino"" Prodüser Mərkəzi",tammetrajlı bədii film,rəngli,82.0,2011
118,İlıq dənizdə buz parçası,dram,Yuli Qusman,Pavel Finn,Fikrət Əhədov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,71.0,1983
119,İlk komsomol buruğu,dram,"Boris Medvedev, İvan Frolov",Katerina Vinoqradskaya,Aleksandr S. Qonçarski,Azərkino,tammetrajlı bədii film,ağ-qara,64.0,None
120,İmtahan,dram,"Gülbəniz Əzimzadə, Şahmar Ələkbərov",Anar,Şamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,84.5,1987
121,İnsan məskən salır,dram,Arif Babayev,İmran Qasımov,Cəbrayıl Əzimov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,74.0,1967
122,İsmət,dram,Mikayıl Mikayılov,"Mikayıl Mikayılov, Qriqori Braginski",Viktor Aden,Azdövlətkinosənaye,tammetrajlı bədii film,ağ-qara,76.5,1934
123,İstanbul reysi,"dram, musiqili",Eldar Quliyev,"Eldar Quliyev, ,, Ramiz Fətəliyev","Rafiz İsmayılov, Rafiq Nəsirov","""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,81.0,2010
124,İstintaq,"Dram, Detektiv",Rasim Ocaqov,Rüstəm İbrahimbəyov,Fikrət Bağırov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,86.0,1979
125,İstintaq davam edir,"detektiv, macəra, müəmma",Əlisəttar Atakişiyev,"Cəmşid Əmirov, Mixail Maklyarski","Nadir Zeynalov, Elbəy Rzaquliyev","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,73.5,1966
127,İşgüzar səfər,dram,Rasim İsmayılov,Rüstəm İbrahimbəyov,Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,83.0,1982
128,İyirmialtılar,"dram, tarixi, macəra",Əjdər İbrahimov,"İsa Hüseynov, Əjdər İbrahimov, Mark Maksimov",Yevgeni Svidetelev,None,tammetrajlı bədii film,ağ-qara,103.0,1966
129,Kənar adamlar,"dram, cinayət, məhəbbət, triller",Fərid Hümbətov,Fərid Hümbətov,Əziz Məmmədov,"""Metropol"" Kinoşirkəti",tammetrajlı bədii film,rəngli,74.0,1992
130,Kəndlilər,"dram, tarixi",Səməd Mərdanov,Georgi Mdivani,"Viktor Aden, G.Əliyev",Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,87.0,1939
131,Kişi sözü,"dram, komediya, musiqili, məhəbbət",Cahangir Mehdiyev,İsi Məlikzadə,Fikrət Əhədov,Azərbaycanfilm,tammetrajlı bədii film,rəngli,71.0,None
132,Knyaz Dəmir Bulat,dram,Boris Svetlov,None,None,"""Filma"" səhmdar cəmiyyəti",qısametrajlı bədii film,ağ-qara,81.0,None
134,Köhnə bərə,"dram, məhəbbət",Elxan Qasımov,"Sabir Azəri, Fərhad Ağamalıyev",Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,79.0,1984
135,Kölgədə 40 dərəcə isti,dram,Leyla Səfərova,Eldəniz Quliyev,Firəngiz Qurbanova,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,69.5,1987
136,Kölgələr sürünür,"dram, macəra","İsmayıl Əfəndiyev, ,, Şua Şeyxov",Qılman Musayev,Məmməd Hüseynov,Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,77.0,1958
137,Köpək,dram,Tofiq Tağızadə,Loğman Kərimov,Mayis Ağabəyov,"""Vahid"" Müstəqil Kinostudiyası",tammetrajlı bədii film,rəngli,77.5,1994
138,Kuklalar,Dram,Çingiz Rəsulzadə,"Çingiz Rəsulzadə,, Ramiz Fətəliyev",Rövşən Mehdiyev,Sınaq Film Prodüser Mərkəzi,tammetrajlı bədii film,rəngli,81.0,2009
139,Küçələrə su səpmişəm,dram,Nicat Feyzullayev,"İsi Məlikzadə, ,, Nicat Feyzullayev","Rafiz İsmayılov, ,, Rafiq Nəsirov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,80.0,None
140,Qafqaz,"dram, müharibə",Fərid Hümbətov,Fərid Hümbətov,None,None,tammetrajlı bədii film,rəngli,81.0,2007
142,Qaladan tapılan mücrü,"detektiv, macəra, uşaq",Gülbəniz Əzimzadə,"Svetlana Qasımova, Semyon Listov",Arif Əbdürrəhmanov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,76.5,1982
143,Qanlı zəmi,"tarixi, döyüş, macəra, bioqrafik","Əbdül Mahmudov, Həsənağa Turabov","Süleyman Rüstəm, Əhmədağa Muğanlı",Kamil Nəcəfzadə,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,82.0,1985
144,Qanun naminə,"dram, cinayət",Muxtar Dadaşov,Muxtar Dadaşov,Cəbrayıl Əzimov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,97.0,1968
145,Qara daşlar,"dram, macəra",Ağarza Quliyev,Mehdi Hüseyn,"Kamil Nəcəfzadə, Elbəy Rzaquliyev",Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,80.0,1956
146,Qara gölün cəngavərləri,"tarixi, macəra, uşaq",Ənvər Əbluc,"Süleyman Vəliyev, ,, Emil Ağayev, ,, Yuri Çulyukin",Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,67.0,1984
147,"Qara ""Volqa""","dram, detektiv, cinayət, məhəbbət",Elşən Məmmədov,Nəriman Əbdülrəhmanlı,Nizami Bəydəmirov,"""PAKT"" Yaradıcılıq Studiyası",tammetrajlı bədii film,rəngli,86.5,1994
148,Qatır Məmməd,"tarixi, döyüş, bioqrafik",Rasim Ocaqov,"Mixail Maklyarski, Kirill Rapoport","Nadir Zeynalov, Rafiz İsmayılov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,88.5,1974
149,Qayınana,"komediya, musiqili",Hüseyn Seyidzadə,"Əjdər İbrahimov, Marqarita Maleyeva",Nadir Zeynalov,Azərbaycanfilm,tammetrajlı bədii film,rəngli,75.0,1978
150,Qəm pəncərəsi,"dram, faciəvi komediya, bioqrafik",Anar,Anar,"Elbəy Rzaquliyev, Rafiq Nəsirov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,127.0,1986
151,Qərib cinlər diyarında,"komediya, macəra, fantastika, uşaq",Əlisəttar Atakişiyev,Hikmət Ziya,Fikrət Əhədov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,70.0,1977
152,Qəribə adam,dram,Əjdər İbrahimov,"Əjdər İbrahimov, Marqarita Maleyeva",Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,142.5,1979
